pooling,train_losses,predictions,actuals
max,"[544.1532416382144, 543.9782639831625, 543.9233214137374, 543.8470642412863, 543.9037427440767, 543.8683536898706, 543.8751357704081, 543.8214506769693, 543.8635409903783, 543.829263279515, 543.8522659860631, 543.8376115522077, 543.8639481657294, 543.7895345636593, 543.8590348817969, 543.7986148377901, 543.8315702458864, 549.6956271843244, 549.7333693683788, 543.8167021223294, 549.7029400025644, 543.8028520871234, 555.5712740190568, 543.8218595007414, 543.8374210070539, 543.8330752080486, 543.8178008320511, 543.8316020324665, 549.7505646367227, 543.8208683229262, 543.8150250988622, 543.8022504570664, 549.6918687538434, 543.8437787179024, 543.8497187732369, 543.8191642376685, 543.7951196726932, 543.7826887612702, 543.8041822628309, 543.8495564794027, 543.8190289133338, 549.6896371328703, 549.7350932090513, 543.8000790047389, 543.8043480765435, 543.8060890320809, 543.7890338564432, 543.7912336549451, 543.7811856116018, 549.6816901109552]","[[-0.57875544]
 [-0.64741313]
 [-0.60850245]
 ...
 [-0.4788474 ]
 [-0.5135651 ]
 [-0.49462605]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
avg,"[544.080093855499, 543.9792548610318, 543.9357482105173, 543.861127914921, 543.855101444388, 543.8903495752684, 543.8773755822131, 549.7374508867981, 543.8767749571031, 543.8246979969804, 543.8577463703771, 543.8201338245022, 543.8969981362743, 549.7024942880035, 543.8418198503474, 543.8450519756605, 543.8037040977068, 543.8022595349179, 543.8372492841495, 543.7966798300384, 549.7286262050752, 543.8350146534623, 543.7946933956556, 543.8096537256754, 549.7037819867493, 543.8303136441016, 543.8098093950621, 543.7956592344468, 543.7965196973535, 549.693326188672, 543.8068014421771, 543.8968937191912, 543.7901532239812, 549.717337218664, 543.7966249527469, 543.826831681754, 543.7988368772691, 543.7838547639949, 543.7941717511865, 543.7885833273651, 543.8785637168475, 543.8124483452049, 549.7180588424847, 543.8068944484957, 549.6963641079524, 543.7894255730414, 543.7892130062145, 543.8026200494459, 543.7916841609504, 543.8147688014533]","[[-0.5062932 ]
 [-0.48421156]
 [-0.7254427 ]
 ...
 [-0.8430068 ]
 [-0.73573554]
 [-0.5184837 ]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
