num_epochs,train_losses,predictions,actuals
5,"[543.999246704963, 543.9518407826782, 543.9457709020184, 543.8332109861476, 549.7255874961935]","[[-0.39108455]
 [-0.5661621 ]
 [-0.21634609]
 ...
 [-0.4999379 ]
 [-0.38342676]
 [-0.40903932]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
50,"[549.9701665178422, 549.8712944010252, 549.7651870865976, 543.8564766683886, 543.9095892290915, 543.8427675795812, 543.8900195039729, 543.8818192840904, 543.8413251164139, 543.8484894383338, 543.8119459357313, 543.8598018692386, 543.803867232415, 543.8502951360518, 543.8571217521544, 543.8785675879448, 543.8119093602703, 543.8170577121037, 543.8400236688634, 543.8109733391833, 543.7967295262122, 543.8133631162746, 543.8033911746036, 555.6178950186699, 543.8385521852842, 549.6945856053342, 543.8583739931865, 543.8085944293648, 549.7145896368129, 543.8044820831668, 549.6839542952916, 543.8071532762178, 543.7858384757914, 543.7940984925916, 543.7786442002943, 543.7886163214201, 543.7872333449702, 543.8064370155334, 543.7786597641566, 543.8150937300857, 543.7796159123861, 543.7707745105989, 543.7912330627441, 543.8075124371436, 543.7732316114569, 543.8152710340356, 543.7922015702852, 543.7890312517843, 543.7916071209856, 543.7947760679389]","[[-0.631225  ]
 [-0.8728386 ]
 [-0.7859868 ]
 ...
 [-0.548473  ]
 [-0.69360113]
 [-0.6857966 ]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
100,"[544.0827643268851, 549.8817270084094, 543.859391343209, 543.8428845431215, 543.8805764516195, 543.8516662710456, 543.8836789618256, 543.8481498892589, 543.8704907842862, 543.8282032192394, 543.7838801850555, 549.7146725859693, 543.841217166634, 543.8047015743871, 543.8199774860054, 543.8048970237855, 543.8383838771492, 549.7116912257287, 543.812616902013, 543.8173687919493, 543.7808394534613, 543.826965162831, 549.6989879608154, 543.8013846694782, 543.8137225310007, 543.77418003031, 543.8521275443416, 543.7712338175825, 555.626461526399, 543.7941520214081, 543.7784714262973, 549.7348880793459, 543.7728761678101, 543.788985518999, 543.7764927597456, 543.7790380575324, 543.7937891508943, 543.7705070075168, 543.7890100299671, 543.835067659296, 543.8149057024268, 543.7709925789987, 543.7937222116736, 549.6916248413825, 543.7915530486773, 543.7968983009297, 543.7941633424451, 543.7878594270317, 549.6990117821642, 543.7971961062442, 543.7785780199113, 543.776793690138, 549.6708240688488, 543.7974424131455, 543.7764166068006, 549.6881291917575, 549.6587996867395, 543.7967457796938, 543.7978587330028, 543.803972177608, 549.6847444298447, 549.6713160930142, 549.6729094828329, 543.7617727428354, 543.7899849517371, 549.6771265768235, 543.7816351998237, 543.77456353044, 543.7658123816213, 543.803732046517, 543.774410124748, 543.751961984942, 543.7635779970435, 543.7718929654809, 543.7589333031767, 549.6572075325955, 555.5529762955122, 543.7579235197395, 543.8008477021289, 543.7754779118363, 549.6600583112368, 549.6657418743257, 549.6744919079606, 543.7865752456008, 543.7688590788072, 543.7843738653327, 543.7659400124704, 543.7700399301385, 543.7651588686051, 549.670271909365, 543.7440996734044, 543.9577149806485, 543.7792235933324, 543.8041397038327, 543.8581506667599, 543.8136497492432, 543.8934264080499, 549.7243979797569, 549.7101990125512, 543.80201701195]","[[-0.57569635]
 [-0.6314697 ]
 [-0.5524402 ]
 ...
 [-0.7775544 ]
 [-0.5729687 ]
 [-0.6410216 ]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
250,"[544.0321319987697, 543.8809371250932, 543.8459064447752, 543.85283043564, 549.7703469799411, 543.8713336195997, 543.8611018965321, 549.7108826867996, 543.8107943816851, 543.805429545782, 549.7079364791994, 543.8547379278367, 543.8062222952484, 543.7882248919498, 543.8215934384253, 543.8330947199175, 543.8017147382101, 543.8074574496156, 543.7946662261921, 543.805358991828, 543.7892128395778, 543.8013346502858, 543.78508809305, 543.8405465054256, 543.7625043879273, 543.7817091993106, 549.6990494548634, 543.8203197038301, 543.7904364267985, 543.8136688176022, 543.7885391250734, 543.7924806764049, 549.7078782743023, 549.6977280237342, 543.8201122130117, 543.7829494399409, 543.8484433543298, 543.7889974014734, 543.7843681689232, 543.7904014715584, 543.7584876962887, 549.8167681168485, 549.7037297935896, 549.6765557847997, 543.785414729067, 549.6506174456689, 549.6901681397551, 543.7761811389718, 543.7652191064691, 543.7959682146708, 543.7978373060944, 543.7679282901107, 543.7847250661542, 543.7806995863556, 543.7679612149475, 543.7565015926156, 549.6871983876792, 543.7688246080952, 543.7744500201236, 543.773484148005, 543.8003063406995, 543.8000076714383, 543.7782110962817, 543.7796821953148, 543.7468892399983, 543.79514330946, 549.6697067060778, 543.7655334241929, 543.8141680250885, 543.7700286655016, 543.7587952306194, 543.75970341826, 549.6588334806504, 543.7769616111632, 555.5753341772223, 543.787991721143, 543.7597804300246, 549.6735436480533, 543.7650162302037, 543.7534906402711, 543.7646460020414, 543.7843899137231, 543.7426008152705, 543.901097536087, 549.7015009823666, 543.7671581032456, 543.7618060214545, 543.7742860163412, 549.6468463277304, 543.7667135448866, 543.7726917061755, 543.770937717089, 543.7705767923786, 543.7505949133185, 543.7629543453135, 543.7804160887196, 543.8022983586916, 543.7553420759017, 549.6856417117581, 543.7765431404114, 543.7817633921101, 543.7484133910108, 549.6510473989671, 543.7719015921316, 543.7855366429975, 543.7603726515206, 543.751937166337, 549.6770603246587, 543.761422746925, 543.7522176081135, 543.7723648291762, 549.6750992446817, 543.7562389117415, 543.7540865918642, 543.7886558553224, 543.7583260356739, 543.771964260327, 543.7648702693242, 543.7702413835833, 543.75320682218, 543.765450913419, 543.7980634422712, 543.7457096602327, 543.7511922979868, 543.7923478977655, 549.674973880091, 543.774863407176, 543.7635493919414, 543.7824137672301, 543.7716733845332, 543.7653563099523, 543.7434816257928, 543.7780608489949, 555.5596618908708, 543.7639756587243, 543.7683427974742, 543.7608657575423, 543.7666260247589, 543.7895990520395, 543.7783388219854, 543.7735907390553, 543.7688377108625, 543.7440763673475, 543.7726824719418, 549.6832491966986, 543.7816256835896, 543.7618635392959, 543.7547298810815, 543.7716369090542, 543.793107025085, 543.7826350376171, 555.5616230990297, 543.7548146811864, 543.8133088029841, 549.6419836064821, 543.8030543916968, 543.782397823949, 555.5561494365816, 543.7493726361182, 543.7626470647832, 543.7369511819655, 543.7693479368763, 549.6481993762395, 543.7606065965468, 549.6838519239939, 543.7749151542622, 543.7682589587345, 543.7697396329654, 543.7770938745109, 543.7855812785446, 543.7606068554745, 543.7649601018556, 549.6719273239054, 543.7520290241447, 549.674023648744, 543.759593171458, 543.7756267747571, 543.7904214730827, 543.7706811812616, 543.7637786711416, 543.7693524770839, 543.77961930921, 543.7762528132367, 543.7652148636439, 543.7643554518299, 543.7569717181626, 543.7669700089322, 543.7548234975466, 543.7637701957457, 543.7875938851346, 543.7431531824092, 543.7763996047358, 543.7817130268261, 543.7809405480662, 543.7678916326133, 549.661768613323, 543.7584584400219, 543.7660003708255, 543.7756725357425, 543.7825459921232, 549.655169933073, 549.6545010638494, 549.6583686105666, 543.7684395108172, 543.7780470284083, 543.7684578613569, 543.7697469444685, 543.7733079130932, 543.7682807445526, 543.7686309455544, 543.7572141975485, 543.7687248055653, 549.649728364842, 543.766417067538, 549.6734843279726, 543.7526896640819, 543.7748929608252, 543.7525828499948, 543.753212436553, 543.7655677026318, 543.7743968040712, 543.7730087644311, 549.6548209190369, 543.7873844254401, 543.7596803172942, 543.7948121178534, 543.7549993735488, 549.6669170241202, 543.7502191887107, 543.8017381032308, 543.7661795769968, 543.7572663727627, 543.7603061814463, 549.6687889227303, 543.7514324777869, 543.7712556264734, 543.765844942421, 543.7670511302127, 543.7858838932489, 543.7607452356688, 543.7668853113728, 543.7782922201259, 543.7817818221225, 543.7548668205097, 543.765598568865, 543.7789755764828, 543.770960859073, 549.6677359175939, 543.7588193980596, 543.7807843454423]","[[-0.40522844]
 [-0.5678013 ]
 [-0.5967058 ]
 ...
 [-0.4842939 ]
 [-0.6232206 ]
 [-0.59984285]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
350,"[550.0270676766672, 543.8704489841256, 543.8512343642532, 549.7704669044864, 543.8503760368593, 543.8502782185873, 543.8249665229552, 543.8650685664146, 543.8419618811658, 543.8383261721622, 543.8073868572071, 543.7891987498089, 543.8007977137001, 543.8134361082508, 543.8277566227862, 549.7295524407458, 543.7813226740848, 543.7876772547281, 543.8445120549972, 543.7937512833585, 543.8324158242954, 555.6062291309398, 543.7953908494724, 543.8481174207503, 543.7894084889401, 543.7975472250292, 543.8244320731009, 543.8478572983896, 543.8099233847793, 543.7984219879232, 543.791385063561, 543.7884614647076, 543.7718707874257, 543.7731590655542, 543.8134631520959, 543.8334741951317, 549.6917887682556, 543.7721980079527, 543.7889763386019, 543.8012424694595, 549.6673685863453, 543.7913537358725, 543.7863055018969, 543.7866773887347, 543.8125482451532, 543.8034956839776, 543.7993507026345, 549.6880876325791, 543.7550806922297, 543.790827620414, 543.792256124558, 543.769955976035, 543.7869677312913, 543.7521478591427, 543.7721403157839, 543.8002477563838, 543.8234996488018, 543.7583254332184, 543.7945051885421, 543.760797659556, 543.756324934703, 543.8566272899669, 543.757590316957, 543.7848221281523, 543.7786863234735, 543.8077619998686, 543.777894958373, 543.7718130696204, 543.7468686232003, 543.7840636827613, 543.7736672047646, 543.7816991857303, 543.7725623038507, 543.7842485776512, 543.7835205806199, 543.7798795828255, 549.6789763409604, 543.7712956474674, 543.7653651929671, 543.7744042565746, 543.7880436656295, 543.7916754753359, 543.7830092240405, 543.790807131798, 543.7528421314814, 543.7822371323904, 543.7734422888807, 543.7634133010782, 543.7827861309052, 549.6812017733051, 543.7784148954576, 543.7778122399443, 543.7624069926559, 543.7567330124558, 543.7595809890378, 549.6845409972693, 543.778813644122, 543.7717781118167, 543.7844540021753, 543.7936045303139, 549.6459631458406, 543.793314462067, 543.8117909175094, 543.8019047296175, 543.798815491379, 549.680646306725, 543.775672610088, 549.6460597463833, 549.6248104392841, 543.7860185561642, 543.7810697042814, 543.7458727872499, 543.7889680862427, 543.7668503586964, 543.7688297815221, 543.8015836515734, 543.8080486379644, 543.7674089657363, 543.7680707234208, 543.76533148622, 543.7572196632303, 543.7700164394994, 543.7665196413635, 543.7738223639867, 543.7841739398177, 549.6658320068032, 543.7761208190713, 543.7777396145688, 549.6537711107603, 549.6805391901282, 543.7764994713568, 543.7494310768702, 549.686550224981, 543.7557777333003, 543.7668454313791, 555.5573490050531, 543.7648128232648, 543.7913936363753, 543.7584545202153, 549.675212942144, 549.6847729324013, 543.773840860654, 549.6842947108771, 549.638905807208, 543.7530299899398, 543.7808039316567, 543.7524474077327, 543.7730914623506, 543.7651491985526, 543.7806305628951, 543.7856361763452, 543.7994344901014, 543.7734119046119, 543.7849810969445, 543.7672716622711, 543.7741640255016, 543.7501774987867, 543.7766992968898, 543.7740882571026, 543.783775157826, 543.7900380472983, 543.7773457009305, 549.6589406921017, 543.7691266869986, 543.7696585680849, 543.76401616681, 543.7802876426327, 543.7405234536817, 543.760456092896, 543.7697585680152, 543.7638248423094, 543.7421484378076, 543.7650992716513, 549.6762194069483, 543.7704622309695, 543.7570938756389, 543.7641640170928, 543.7687159328051, 549.6506503781965, 543.7762259539737, 543.7528256318902, 543.784671650138, 549.6677483512509, 543.7802088850287, 543.7853683758807, 543.7890343486622, 549.6502732435862, 543.7906138820033, 543.7910973692453, 549.676119471109, 543.782219335597, 543.791185609756, 543.7721498909817, 543.7768492544851, 555.5481677388632, 543.7593602621428, 543.7815791099302, 543.7521193924771, 543.7818109578984, 543.749097536969, 543.7631279268572, 543.7656182422432, 543.7656005864502, 543.7711798503834, 543.7744509173978, 549.6643117576517, 543.7577311121007, 543.7489628791809, 549.672633032645, 543.7482875880374, 543.7879698404702, 543.7661914697258, 549.6592809461778, 543.7765804362554, 543.768908303271, 543.7757860152952, 549.6727366960176, 543.7430577457592, 549.6647688035042, 543.7658690585885, 543.7549937309757, 543.7829538263301, 543.7691422662427, 555.5351267988964, 549.667047931302, 543.8040905332052, 543.7801975639918, 543.7609656882543, 543.792926360202, 549.6558942179526, 543.7620078696999, 543.7658140633696, 543.7827504245183, 543.7609366934787, 543.7740494461469, 543.7842072850915, 549.6713802071027, 549.6508051297998, 543.7756211065476, 543.775463411885, 543.7548308064861, 543.7661772979203, 543.7709760768439, 543.7808385202961, 543.7518646153071, 543.7678100626956, 543.7644108264677, 543.7809083179761, 543.7445662201092, 543.7663514844833, 543.7956817560298, 543.732229932662, 543.7658175037753, 549.6635034494502, 543.7871664980406, 549.6596822379738, 543.7633164774987, 543.7896916635575, 543.7656941080606, 549.6446155143041, 543.7579974717992, 543.7895415547074, 549.6582875636316, 555.5599360337822, 549.6536626636341, 543.7843115970653, 549.6694021455703, 555.5395251832982, 543.7708073713446, 543.7568435899673, 549.7560939199182, 543.8318138481468, 543.7881022473817, 543.7721221498264, 543.7579266640448, 543.758378910762, 543.7578438994705, 543.7809685404583, 543.7886543299562, 555.5542674218455, 543.7810312932537, 543.7710190639701, 543.7666938407447, 549.6510824798256, 543.7601778814869, 561.4633858998617, 543.7613025660156, 543.7717331660691, 549.6450158985713, 543.7513324086384, 543.7806510028018, 543.7556878546233, 543.7915024270294, 543.7870662468736, 543.7636954989484, 543.7702538249313, 543.7398759344572, 549.6560285219582, 549.6618732406247, 543.7498510550428, 543.7959021522153, 543.7573470454062, 543.7602620945182, 543.7493422313403, 543.7541800827108, 543.7543815130829, 555.5514002359041, 543.7912477677868, 543.7517041954943, 543.7697097614247, 543.7808409942094, 543.7410084098898, 543.7646193350515, 543.7635931737962, 543.7458512629232, 543.7618787263029, 543.7889246350976, 549.627412478129, 543.7496840543645, 549.6465928528899, 549.6442191216254, 543.7562439569863, 543.7696714170518, 543.7709363814323, 543.7806291272564, 549.6330552049862, 543.8161626400486, 543.7569623172924, 543.7711174154795, 543.7752484454903, 543.7702415066381, 543.7638502864428, 543.7625855271534, 555.5584245804818, 543.7838700484205, 543.754063929281, 543.7652672183129, 543.7479029983602, 543.7498333402859, 543.7612774654101, 543.782044692706, 543.7786875847847, 543.8071809814822, 549.6387478433629, 543.7746126626128, 549.6441576352684, 543.7834294329407, 543.7356053859957, 543.7652321682182, 543.7746901460873]","[[-0.71377015]
 [-0.40383965]
 [-0.5711026 ]
 ...
 [-0.75841594]
 [-0.55783653]
 [-0.44640216]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
