hidden_size,epoch_list,train_losses,val_losses
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[6404.941748154469, 4838.596053031774, 3628.0711327754916, 2676.6573106814653, 1930.5842808128423, 1358.3764306092874, 928.8834446369567, 616.5292287647214, 397.80597292969367, 251.93302344460773, 157.90300972441324, 101.98431794460004, 70.73026341722053, 54.779300074292046, 46.71816348653828, 43.04709455587415, 41.13663305552342, 39.769658998801155, 38.8387653083246, 37.418938820242374, 36.231706969790224, 35.05939173930858, 33.542083989478584, 32.03013940836884, 30.444897046933573, 28.92962276079079, 27.24756855339321, 25.490648723692974, 23.5405653680428, 21.802335205607307, 20.636282538947388, 20.618716729725275, 18.94013788506516, 17.334452201588412, 15.697937874760257, 13.596774674685369, 11.636164607408528, 9.578649973962456, 7.837168268298205, 6.629205230050362, 5.897650588124704, 3.954154720951795, 3.3550376556296317, 2.273640166657666, 1.670883669402514, 1.6082927822732391, 1.05503940804758, 0.6123560306886768, 0.960535146914916, 0.23533054169776857]","[5354.586628574436, 4039.4715944329055, 3002.834981311681, 2192.00422050867, 1558.5019114509983, 1080.78998076499, 728.3989100269342, 475.62162589540674, 303.19957782757484, 189.64836584738757, 120.35218737994211, 80.33203216730539, 58.17012070365629, 49.17876588793124, 42.48334616473166, 39.9090296725853, 38.585837589040146, 37.69487163891732, 36.3157774770664, 35.18218007784779, 34.14096270350076, 32.89591880041664, 31.286333506137638, 29.861638196949233, 28.42623737403902, 26.809023757354687, 25.241428976846954, 23.434747468617005, 21.458905010784076, 19.879362751871852, 20.878658101467764, 18.914757121480623, 17.316273515570465, 15.630600153160739, 13.98116051380412, 12.174291287122642, 10.02281047239647, 8.124121596026471, 6.551869978654688, 8.580104247998383, 4.297768398993096, 3.2380467700629922, 2.431920216324092, 1.8523843153932338, 1.275183084436645, 3.2398569967787143, 0.6317124962490999, 0.44887685741029554, 0.25661087872744615, 0.15568438697985168]"
50,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[3877.398583124336, 670.4762017640293, 70.92912225030426, 8.729730032193356, 4.2792425070945015, 4.104707815166977, 3.8662582052569103, 3.8398196605535655, 3.9153695628365393, 3.348222671331376, 3.1021086056836142, 2.8152897341224628, 2.781716992075627, 2.426342583492271, 2.130080466182568, 1.9761730035782878, 1.4826544927289853, 0.8786527040358793, 0.7044190616450376, 0.5297530133945819, 0.5590385522884436, 0.2461696185776566, 0.19361880321342212, 0.12210672054216902, 0.3979635278527171, 0.07706743307236551, 0.0944838306078544, 0.14289526519580528, 0.09565033463952251, 0.1461232608009098, 0.09903758681482738, 0.03669272983868598, 0.02825306965541652, 0.025920151172675446, 0.028000378812082175, 0.026297674216847453, 0.026096716013729062, 0.02388177928713779, 0.02180774422446027, 0.020472916190385118, 0.024133517769061856, 0.019936400016423505, 0.021868875973587297, 0.019200816159992296, 0.01860192199098344, 0.019089513892132755, 0.020099259233380802, 0.01840528053516108, 0.0180901983856327, 0.01732706575272366]","[1454.3391555128462, 183.85348572973479, 15.552883293669103, 4.218456720649185, 3.8150387343208667, 3.7785484323562204, 3.5085326961036456, 3.279463078384682, 3.4009779848284643, 2.984445962865474, 2.838795440176786, 2.5287468929033157, 2.396122168938992, 2.1121173810403224, 1.9132845284322562, 1.5378543255945383, 1.130104138942088, 0.6853494812118806, 0.61136340147863, 0.39350202490212555, 0.2512509479676768, 0.15926514288126412, 0.11606800044744701, 0.17579334396553242, 0.0652925995951992, 0.12072582710218632, 0.06547144176912005, 0.2509847659680803, 0.10944785900666552, 0.09301378678972438, 0.15378805811879998, 0.027751951624434126, 0.02612579068547841, 0.02838494942397258, 0.024411329766735435, 0.024288379468844604, 0.021300834240549703, 0.02007701028122614, 0.021266964911404302, 0.023896766964630303, 0.01865775933315567, 0.014407214976973453, 0.017278992787982197, 0.014445536475928531, 0.018474684077141396, 0.021451951257126817, 0.017302484097653777, 0.0136052161589328, 0.01504870391277186, 0.01634037888498377]"
100,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[2461.336046661067, 41.739731496343246, 9.3882952893519, 9.349346121852724, 7.300673742898, 6.35060550348881, 5.554996067387426, 4.600124425167202, 3.9029408348803845, 3.258750739037736, 2.584792996955733, 1.7580201037419148, 1.2533091200022106, 0.7714605861239963, 0.540126600326636, 0.5609611007743157, 0.29528272526068056, 0.3252725481159157, 0.17522288935306746, 0.16661578681097072, 0.3005650749700701, 0.3697089156629438, 0.17978993692618406, 0.1913187225213927, 0.13772165637590691, 0.10658129639764372, 0.11587239689249386, 0.16181091991308919, 0.10628685285934271, 0.1486128029357801, 0.1662521709361647, 0.20027737208825147, 0.03825714808001191, 0.029392597186936337, 0.02895948473805896, 0.027489585887529273, 0.026360695346847623, 0.02635386613253345, 0.026920043041483842, 0.026240195349678714, 0.02528428906200724, 0.025051213370070945, 0.024347724847726397, 0.023083939348371364, 0.024460284324943956, 0.025851810907220676, 0.02278373674907459, 0.024583904507458527, 0.025542520318960406, 0.023212422528224558]","[173.74407328185387, 8.829943834725073, 8.344953657206842, 7.668051481752072, 6.368094683703729, 6.034516323420961, 4.686724738549378, 3.8931985790446655, 3.268091829398931, 2.7942580408969167, 2.586194588976391, 1.1880083627114861, 0.7205191402364586, 0.4846633689762172, 0.6068810694298502, 0.21298362567263135, 0.14782671346250226, 0.1447567833682238, 0.1186159041599702, 0.09849759418580492, 0.4499510390273595, 0.0883625496999692, 0.1581538630239034, 0.09634177683521125, 0.07455715833831641, 0.06866749647562786, 0.08626779137273967, 0.10035139413834629, 0.1775653647669291, 0.19826404876628165, 0.12707541156875884, 0.12330674739964938, 0.031784953596859664, 0.030217802842636986, 0.02814502177870501, 0.03136041617983858, 0.0292719370464526, 0.03018899855866902, 0.027490980702184014, 0.023643396076572648, 0.028391716044822362, 0.023678789440132048, 0.02403404459483543, 0.026393861438826483, 0.02339150758965288, 0.023662306352565856, 0.027613408745156002, 0.02001773051412429, 0.026844660838339793, 0.02992074914529162]"
