epochs,epoch_list,train_losses,val_losses
5,"[1, 2, 3, 4, 5]","[4057.741620316465, 716.0662008758284, 77.56968766756547, 10.025084212422371, 6.356058522103688]","[1553.46344678407, 199.19276344574104, 17.664599423691378, 6.4083846246792096, 5.6321782444493245]"
50,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[3892.2972968989966, 661.5795405494351, 73.01759489988669, 12.189431273784393, 8.652092444017912, 8.079932478885365, 7.676095105007163, 7.308788379288127, 7.091736911135351, 6.37589897785304, 5.843390101200749, 5.368206922760886, 4.921184670912404, 4.093949530751277, 3.571487933047052, 2.792743418660238, 2.0174211541620584, 1.5370580078317568, 0.9359347537701201, 0.5833665443998244, 0.47701051245387804, 0.22807225892240676, 0.17952862270892814, 0.21380726292204016, 0.16606452954439527, 0.10102284150436902, 0.11082934154372694, 0.3158744118279881, 0.11110926098309648, 0.0967947425495865, 0.05400423262602626, 0.08657864009579405, 0.09245754537594497, 0.10381730394358309, 0.09652723921224093, 0.09438592437595034, 0.09581421450990388, 0.03149564616167201, 0.02420737706701884, 0.022160165165361956, 0.022481700346773315, 0.020971335140335508, 0.019813251972664148, 0.020253853866448387, 0.020659135632678613, 0.01870842420711962, 0.017878763489604283, 0.019608665879569057, 0.02073860414720212, 0.01822377562808454]","[1455.609703845897, 180.26941548363638, 18.748024831383916, 8.680433892597586, 8.134334838491375, 7.618425241466296, 7.249288308418404, 7.594035787097479, 6.324586329066147, 5.689538207599672, 5.522191575270588, 5.0048596126548315, 4.446670431706865, 3.555988522404331, 3.187106178221056, 2.155475261226549, 1.643964920319238, 0.9999307424966561, 0.7499127761792328, 0.4253243415663808, 0.36585854593727546, 0.15748280653003918, 0.10348763720969022, 0.09574961592837916, 0.08768944847949986, 0.05385519564151764, 0.1708686155409126, 0.09263651074557486, 0.17063284816883378, 0.08544608379193282, 0.03784070879031541, 0.05138389532596378, 0.059515445295847576, 0.10214305489118826, 0.047946970673056984, 0.06158596334063401, 0.13570575223509537, 0.027104974420488637, 0.027777564092302472, 0.024853945447337197, 0.022298037798649046, 0.022499871313950773, 0.021333044819076056, 0.02139414177804996, 0.021675151958272368, 0.019372747202751117, 0.01646767688670464, 0.01804282696191537, 0.01901577979965546, 0.01654327582859955]"
100,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[3967.086877708761, 734.4332078094156, 97.16867120245583, 26.861172653671005, 21.313130881414455, 19.85581505451447, 18.740080831779373, 17.152146076799458, 15.686090892578802, 14.133090170307291, 13.756717342278387, 11.15143432156143, 9.293965054453055, 8.023131985026293, 6.276840593084756, 4.539924895629669, 3.2063452267509875, 2.437183767039743, 1.6601940670058641, 1.0958464738045237, 0.7482323049862161, 0.7818555949399104, 0.48926959259228575, 0.21902454773393962, 0.19563711130131894, 0.1392739158657053, 0.08132368441209452, 0.10521817318378733, 0.22896102275380975, 0.1510990170889303, 0.09867949470575167, 0.08415763257429577, 0.09895123576777232, 0.0937289087018237, 0.24856757040485802, 0.1887742207210479, 0.062000750142157585, 0.0297439148167992, 0.025410411530174315, 0.024216816950645138, 0.02282033843967395, 0.022303024613354195, 0.02276201982351625, 0.02110962323151911, 0.021126704579557523, 0.020628817863045976, 0.02071966894536128, 0.019021204509075858, 0.022610167264301553, 0.018600882893690888, 0.017905072114056248, 0.02208796174575885, 0.019270770522391695, 0.01792506675950339, 0.01731434209883197, 0.017805935025442008, 0.01703595516220149, 0.018929182280165453, 0.016974840361951318, 0.01578782168097603, 0.011348858414368074, 0.010651623559309743, 0.010359657835439205, 0.010165239029323172, 0.009726053915726833, 0.009501580405397277, 0.009578309613668049, 0.009482479472415777, 0.009134724357615137, 0.008957147072158897, 0.00883550578643743, 0.008483545523849277, 0.008198805885443177, 0.008190098884027913, 0.007841461691080043, 0.007601070041423982, 0.0075970157967486344, 0.007315004544688835, 0.007232125365831014, 0.00690064941018991, 0.006899828153202692, 0.006313566120344405, 0.006369875186783636, 0.00590980780369634, 0.005836940959541716, 0.005578338215948464, 0.005499596460886562, 0.005232949301766622, 0.005132872558673485, 0.004947584040082879, 0.004700632183936934, 0.005028482647682341, 0.00450453870709882, 0.004389926524530364, 0.004441349556083536, 0.003963569856027906, 0.003614121564324651, 0.00357579560261359, 0.0033756584241492753, 0.003625500817140405]","[1550.1208468847356, 217.18574948027984, 34.210230229264596, 21.26464854054532, 19.69712549675319, 18.395591546923427, 16.99820432748835, 15.76049272438227, 14.215800150976342, 13.223339624829212, 11.52638965592546, 9.580893957261312, 8.1739874893831, 6.874306475459519, 5.089393189019066, 3.571091514080763, 2.694895494918702, 1.9199731951042758, 1.2292772306729172, 0.7415486528396101, 0.5042161872073755, 0.3148846489898229, 0.3441463112831116, 0.13498768172526765, 0.12541823351155904, 0.08651105731220568, 0.05766682577777212, 0.14880990761063867, 0.2418248186172065, 0.0613089934212424, 0.050790684976441375, 0.10286525867374266, 0.32137796137545066, 0.11579064503943516, 0.5209993919578649, 0.08500697340626838, 0.06946915624884226, 0.029762560304380573, 0.02719181198705682, 0.028220388789708586, 0.028780451660060276, 0.024545837308169675, 0.02556055728385572, 0.025124056406824264, 0.02295812696684152, 0.02359679182675683, 0.0187001949969395, 0.022539778099537403, 0.01893600179237645, 0.025237445356482167, 0.01607563829353332, 0.01735391669070064, 0.016276485686214103, 0.015810151890283293, 0.02415664593483937, 0.01967056611379198, 0.01827423271458691, 0.016328630631521217, 0.016662686688320365, 0.020533728451760075, 0.01138172445372852, 0.011245140276545405, 0.01151847297234966, 0.010840507836862452, 0.0117235099146995, 0.011882501488583068, 0.010104627609923797, 0.009457172172822817, 0.009615447698752949, 0.010779675472156792, 0.00949081058181838, 0.008465123134941431, 0.008360425745318565, 0.009453037808949159, 0.009550624413581534, 0.00794077977652551, 0.007958073924706018, 0.007188743242788744, 0.007110449110583986, 0.006589340358297735, 0.006398954577704544, 0.007080285659975419, 0.006156186575673805, 0.006297646063750894, 0.006805260817646601, 0.005498377235322181, 0.005456936963975935, 0.005371254866832267, 0.008127897512660978, 0.005270528610523443, 0.004726619338340489, 0.004641837701872307, 0.00476062769549741, 0.004495718497664557, 0.004634822318251482, 0.00423868987669821, 0.00416777109020879, 0.0037195125537514053, 0.004531053885407114, 0.004428491416639822]"
250,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250]","[3986.6169576644897, 698.38313185863, 77.91410443670729, 12.492760728312353, 8.703730025989378, 7.992163706730064, 7.51909243207202, 7.1251918870287065, 6.8825605977167434, 6.208339009433985, 5.851778102385947, 5.130535622087554, 4.633157436059326, 4.266113356010527, 3.185103486252264, 2.389307049763763, 1.6344789325808868, 1.204305933828219, 0.7381204928104312, 0.5124470262636995, 0.40161247225876295, 0.32004002084493893, 0.19069249693972942, 0.12504049335630277, 0.22903702040720317, 0.10632268068356773, 0.1110758047280276, 0.14506572467458045, 0.1017239707100213, 0.12675127433214942, 0.11934761772465566, 0.1230387922981356, 0.05906533900325975, 0.026353522855589468, 0.022784268925549526, 0.02194831535841028, 0.02103702518860133, 0.019901395870400514, 0.020076755608400155, 0.020918128528666053, 0.018881934438981354, 0.019648452787650112, 0.019281444660911303, 0.017954400106498368, 0.017288721084214635, 0.017988964120268375, 0.019216411976884, 0.018258938195460483, 0.01789402899816911, 0.017001588811697915, 0.01783214779729899, 0.016386110314942148, 0.014054582913209183, 0.012864739955980012, 0.012265188554197382, 0.011882086586566348, 0.012226819044325309, 0.012221747800995372, 0.012021263426768744, 0.011942576931423357, 0.011816212214414094, 0.011850078026793946, 0.011699834318993749, 0.011433408791885879, 0.011743890027675785, 0.011392472410857135, 0.011119023978344014, 0.011023219007303199, 0.010822156734732736, 0.01109801271358708, 0.01069729374253995, 0.010503227258440401, 0.010604855562057784, 0.01035321903085181, 0.010138728163970245, 0.01011779977386304, 0.009769438389210135, 0.009343882641455548, 0.009423285723603172, 0.009157437425202284, 0.009085250750624845, 0.008993284329055594, 0.008683562651749214, 0.00865555937070117, 0.00847787344101896, 0.007955326305694368, 0.0077720121846188055, 0.007715512682861871, 0.007478327436534823, 0.007321478784806692, 0.007609630548211141, 0.007323124935205242, 0.006780055085018986, 0.006626382718384107, 0.00651174751493451, 0.0062016146002550265, 0.0061420585751696686, 0.006063771206272654, 0.005926902530914865, 0.005556605598450495, 0.005320318361010968, 0.005707345567976968, 0.0048595839033289375, 0.005283366604563859, 0.004771083720107006, 0.004444491318934478, 0.004670114246989067, 0.004726255735438158, 0.004330303399071384, 0.004121057156739064, 0.003970454626196287, 0.004002789724478896, 0.004017892455693103, 0.003673111802737157, 0.003321998466217182, 0.0033784586749423663, 0.00315408451974185, 0.003472917301666875, 0.0030914809701329446, 0.003016605299253725, 0.002846460914563658, 0.0028458524741128916, 0.002639493725907344, 0.002727835515760777, 0.0023911867931765765, 0.002329948089711376, 0.0025864888658462507, 0.002490050441851147, 0.0021769698453906914, 0.0028060994212491773, 0.002270282294554437, 0.0020896221004733937, 0.0021407530304993717, 0.0019592299215887617, 0.0018492572456817182, 0.002020331155971433, 0.0019154650051968617, 0.0017807899406388737, 0.001772654816805799, 0.001761022920975995, 0.0017366792926312082, 0.0016963506334124962, 0.001645992543913014, 0.0017541337241647511, 0.0017435600596547732, 0.0016983242410197298, 0.001527090714751886, 0.0016631318919677048, 0.0015919305365254036, 0.0016703697842591577, 0.0015710790511757995, 0.0015071034580086055, 0.0015077071777310094, 0.0011869215241182619, 0.0011490212609015333, 0.0011415883559065983, 0.0011583054432636485, 0.0011414762031143675, 0.0011389786422324295, 0.0011482748042410996, 0.001146142186612412, 0.001137533626913662, 0.001138257741347019, 0.0011376313108733944, 0.0011394694077500747, 0.0011285409707184006, 0.0011327808350847007, 0.0011277218544796014, 0.0011280250180742512, 0.0011352782110205023, 0.001128626947351393, 0.0011350539420645796, 0.001114082047141169, 0.0011229419893720467, 0.0011146502515463294, 0.0011399394540145046, 0.0011109152184296837, 0.00112439877675492, 0.001112904896761657, 0.0011266191074829628, 0.0011115757867014315, 0.0011016240940577525, 0.001101672504175331, 0.001112536863962678, 0.0011096114141500404, 0.001069286278484819, 0.0010666274478679928, 0.0010657151897948307, 0.0010638840428258006, 0.0010648178055824744, 0.001064118274682078, 0.0010638583598148006, 0.0010622658479623457, 0.0010642190138599437, 0.0010604706610767888, 0.001063422341151939, 0.001062888272803647, 0.0010627957705694896, 0.0010631374584940763, 0.0010614353115172882, 0.0010626818162004033, 0.0010635774416210225, 0.0010623345580638554, 0.0010582999766950544, 0.0010572398114008191, 0.0010570489045139998, 0.0010571048150866881, 0.00105702345843803, 0.0010568275753558916, 0.0010571315495046573, 0.0010579597166616025, 0.0010570737560758265, 0.0010569031298325723, 0.0010568082484224627, 0.0010564946346870488, 0.0010571277617779362, 0.0010597481087355628, 0.0010562520296960615, 0.0010567401525485886, 0.0010563052813104617, 0.001057028730708855, 0.0010564217175895341, 0.0010563275129056703, 0.0010568011482072095, 0.001058077158639705, 0.001056256824614317, 0.0010569624390859061, 0.0010567276053773398, 0.001056198852831243, 0.001056294439480646, 0.0010564251381602401, 0.0010569532330095186, 0.0010562588347064364, 0.0010562916340392965, 0.0010563505261377273, 0.001056430215223963, 0.0010562154200623552, 0.0010563187253523148, 0.0010563260159862195, 0.0010562006608134287, 0.0010563605953790008, 0.0010562760950813396, 0.0010564981584892902, 0.0010562471809232822, 0.0010563408881057706, 0.0010563471272705186, 0.0010565192047252846, 0.0010565592261612352, 0.0010564394891471006, 0.001056254116931988]","[1540.872920878863, 192.91076130988233, 24.645869982444633, 8.954222512447227, 8.071846656880137, 7.365953517162193, 6.8933020335132795, 6.535171988656965, 6.274179909693992, 5.6196889596975454, 5.131624906750049, 4.599015466237472, 4.675293814832881, 3.4153931303802185, 2.5843864166635577, 1.8073289660200225, 1.2831146079352347, 0.9784491644319842, 0.5100439194021589, 0.5363017958352121, 0.33381907982846437, 0.2583746832432383, 0.1587459395118689, 0.1851573563101938, 0.12621025147579484, 0.09833887402536505, 0.0653077191278591, 0.13738522179803606, 0.10685398896871987, 0.10760002712703358, 0.22700278056880174, 0.07973269789905871, 0.06868426519114587, 0.028080463500188318, 0.029644974529096004, 0.023224207456223667, 0.026661314664140217, 0.023475024190147298, 0.02464957658785506, 0.01997162446861108, 0.01976513995698227, 0.018912696185861163, 0.020829581153397527, 0.017973064241725636, 0.017902748233054655, 0.01631940882041324, 0.01670570119177544, 0.03449885354187908, 0.018728614978144986, 0.022838937763866606, 0.018666459436891443, 0.018369190245906237, 0.013563384068143254, 0.014497033993208433, 0.013554753907818063, 0.013831498084581947, 0.015510339536546272, 0.013477578112249798, 0.013486947227462779, 0.014711830473477336, 0.012973989515419324, 0.013049726386286192, 0.012718666411474568, 0.012178049957275122, 0.012303542719672482, 0.013439075291744765, 0.01274210438566377, 0.012502657572178454, 0.011456857919811382, 0.011947895136318502, 0.011062043403291096, 0.01188312295402037, 0.011027594146287163, 0.011766858635197977, 0.01100733027777682, 0.011339130166176138, 0.010515773563322185, 0.010908257446086065, 0.010676458702418732, 0.010138048612812565, 0.011612936660008094, 0.009344969666957602, 0.009635851750548898, 0.008746049494652268, 0.008733220977542953, 0.007923142701857013, 0.00828537758798891, 0.00789771180390775, 0.009406264176319937, 0.008418183768823174, 0.007479169225947679, 0.007422979959578775, 0.006651140526242917, 0.0063511999560741045, 0.007468296921322659, 0.006303037514799606, 0.005755009208569082, 0.005720328574139877, 0.005421989165508914, 0.0059894278953325445, 0.00589405407219478, 0.00492494984705522, 0.006023217179078482, 0.004743141540221602, 0.004968940824964794, 0.007577031706775523, 0.0043017394195500195, 0.004625053485358229, 0.004276743429018405, 0.003987180776460001, 0.0038989124638600654, 0.0038435437328821456, 0.003450276539266362, 0.0035737065326568464, 0.0038575335673127578, 0.0031982136476425833, 0.0031747869704258076, 0.003785681226132911, 0.003913574297596716, 0.002978985687674386, 0.002743015401223201, 0.003092045830394994, 0.0031893558593533967, 0.0031826786402912844, 0.0028348292092895294, 0.0027240548653812225, 0.002643221471077857, 0.0024238929452899435, 0.0022571652671874707, 0.0032117197766576466, 0.0038171421560869254, 0.002153160086027899, 0.001992154227652571, 0.0026251958585462643, 0.0025872232933070952, 0.0021876008003176646, 0.002130493597902942, 0.0019282237042069152, 0.0019211068426819235, 0.001966100579011254, 0.0020110567245371956, 0.0019605550510508906, 0.0023869996450415227, 0.0018076278220948967, 0.0034366501736951896, 0.0017590317778956239, 0.001620687064872581, 0.0019187119595067165, 0.0022520675951362415, 0.0023045562921975883, 0.0018990201711796728, 0.0016806838724178152, 0.00201153227471415, 0.001493125493436957, 0.0014729593227858166, 0.0014883865810974139, 0.001488220413517349, 0.0014996092975676312, 0.0014831590721723071, 0.0014712202206838055, 0.0014791553277695962, 0.0014718074210469563, 0.0014896240054286416, 0.0014758052990546892, 0.0014725773433969214, 0.0014590016229303112, 0.0014679895813075698, 0.0014843567463439116, 0.001464344841286035, 0.001463710970710963, 0.0014675868928168063, 0.0014552914429459942, 0.0014722936831600174, 0.0014483231843461014, 0.0014659418419627, 0.0014680680718718855, 0.0014810527717276335, 0.0014350861256697484, 0.0014272926605140822, 0.0015322658318682905, 0.0014577582185018524, 0.0014492930611102227, 0.00143159155672716, 0.0014317007853760053, 0.0014310770989218095, 0.0014237515592328035, 0.0014218088965547288, 0.001420028137005629, 0.0014202248167455734, 0.0014199109230549627, 0.001419927605222595, 0.001418474801940354, 0.0014207988357865962, 0.0014193401846075747, 0.0014211382836269184, 0.001419063720662715, 0.001415993224866925, 0.001417774689567307, 0.0014165573747497114, 0.001419197179236986, 0.0014164920642743108, 0.0014159024887426235, 0.00141663439754373, 0.001415936259544944, 0.0014157565961733965, 0.0014156461843798506, 0.0014156099311194493, 0.0014156040035570988, 0.0014156445407533576, 0.0014155975358473864, 0.001415592285319058, 0.001415555327893945, 0.0014156281276728358, 0.0014156253877198482, 0.0014156224558788935, 0.0014156329971382994, 0.0014156381724406255, 0.0014156439345057706, 0.0014156485324176976, 0.0014156550464962247, 0.0014156579662516903, 0.0014156635845241816, 0.0014156643755070992, 0.0014156654794795155, 0.0014156533944838822, 0.0014156611533677678, 0.001415650743815527, 0.0014156597877075202, 0.001415656457292074, 0.0014156733382536667, 0.0014156714272665618, 0.0014156802948090737, 0.0014156762030078257, 0.0014156868838669605, 0.0014156798390134917, 0.0014156929507823978, 0.0014156868759743963, 0.0014156961571366005, 0.0014156983599019379, 0.0014157055766653207, 0.001415695154287663, 0.0014156992739595283, 0.0014156960597127614, 0.0014156804992758148, 0.0014156823567414688, 0.0014156838627413736, 0.001415689590523193, 0.0014157109626004535, 0.0014156970221123075, 0.0014156984925956734]"
