optimizer,epoch_list,train_losses,val_losses
SGD,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[382.192976737379, 85.34986754831596, 59.15589305287243, 41.34991535748172, 65.06577253596396, 53.7080782762068, 43.2221720833809, 35.19523634570531, 28.444143785625442, 23.056693438918163, 66.36365829828458, 81.00558912703114, 77.08461287280178, 153.2407211757496, 161.5361162110781, 151.35481229889342, 147.70766581493055, 147.28464789688587, 147.1317550770811, 145.789820890014, 139.03633348573732, 136.89214430310022, 135.64204141491243, 135.46068770352466, 135.30432439031892, 135.15442875049945, 134.9694756993817, 134.81311830330608, 134.68592398524538, 135.09462723212366, 134.64967195867982, 134.63393839792565, 134.62459963426377, 134.60245976345533, 134.5890590697527, 134.58752306140005, 134.5861924584541, 134.58427123957847, 134.5982804195239, 134.58621444616816, 134.57978129925, 134.57965244333712, 134.58389798277972, 134.59164155351047, 134.57934585210478, 134.57925918691942, 134.57900405471395, 134.5880635752637, 135.01235449587944, 134.5846216046912]","[102.35385827189785, 62.72869286951372, 45.56548953814021, 34.671435701645024, 59.379698477559174, 45.50611104828826, 36.70152875086514, 30.731582293065927, 24.760337573997045, 19.931354764154403, 66.83265960418572, 60.4121586349556, 55.34406464509035, 152.92649607739207, 146.2602392354254, 143.10469629400868, 142.55554142341776, 142.21106950938702, 142.1326201272718, 135.06350241222623, 133.41739052786664, 131.75768004938706, 131.60371215540474, 131.44542804713976, 131.29569493335183, 131.14148341296084, 130.99182785744384, 130.83829338292955, 130.8231948071112, 130.8080844980175, 130.79290095047426, 130.7778285570064, 130.76265561252328, 130.74747328535986, 130.74599245291645, 130.7444957194187, 130.74300437559515, 130.74150116665888, 130.739987621368, 130.73848043053837, 130.7383753649764, 130.73825643981917, 130.73812138402866, 130.7380016602702, 130.73787421316413, 130.73775158418437, 130.73774856404734, 130.7377664797892, 130.737783847724, 130.73777967868216]"
RMSProp,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[2047.513078412439, 148.1317573531061, 19.91262656673152, 15.727792368421698, 11.195683632523586, 7.572449307379305, 4.912025271891019, 2.4691616969071646, 1.7830095594255333, 1.2078036827027288, 1.0026682378071496, 0.8730838823999859, 0.741541243564242, 0.7260315468391547, 0.648917864036993, 0.6416967076082261, 0.5996440152725221, 0.5569688868191507, 0.16593589819171745, 0.13349877712595412, 0.12005006433583987, 0.11005541837861778, 0.10376731684415513, 0.09696437203540252, 0.0923288182880825, 0.08735470670776871, 0.0803912331441688, 0.07851729361722484, 0.0757140416182323, 0.07210996323543736, 0.06784200387346184, 0.0659581895929594, 0.0638622290108544, 0.06169275727329983, 0.05567492935886113, 0.055378826967894264, 0.0534685795298881, 0.051709067938117005, 0.05119499869835682, 0.04772275733228168, 0.04630128171645168, 0.046459375685638085, 0.04385402957355588, 0.04426006178280068, 0.0426522493451977, 0.04090292295281831, 0.042016879534030445, 0.03719999373424798, 0.038443669581260435, 0.03881295492701455]","[449.8329215292203, 22.508765966205274, 15.653410742848607, 11.376935840663263, 17.14808594978462, 5.36163639921253, 2.372110120573286, 1.4358439445495605, 0.7148377420538563, 1.848814308643341, 0.31128776414414583, 0.21113624922552351, 0.5278318528149087, 0.7201275345632585, 0.32034862710762835, 0.21469986931247226, 0.4329341887417486, 0.3574370851708671, 0.15001506775112475, 0.12918962651895263, 0.11443794319816565, 0.10974753660670782, 0.10069704096827467, 0.09903148659583876, 0.08693861110546326, 0.0815565736838064, 0.11359077600478115, 0.08038089534867618, 0.0678264400684985, 0.0711294974879188, 0.060604471815907855, 0.06445559834019612, 0.05447804247486895, 0.05128390776877433, 0.04781964336032585, 0.06967247631085122, 0.07275936525251905, 0.041016056691691026, 0.039424949270373176, 0.040599584962257136, 0.04031356199944423, 0.03379597847933991, 0.12320811869734424, 0.04348739796965304, 0.04328262738062669, 0.03895946101175021, 0.03022149516569482, 0.03723797605420321, 0.0439527596473315, 0.03129098451128071]"
Adam,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[3953.0982173039365, 701.8503016358258, 76.33209262342534, 8.208784255461815, 4.4007715503247375, 4.174728929296008, 3.8430038226338534, 3.7408741327305126, 3.44066838407491, 3.2895070632808228, 3.576695412461065, 2.774377000446503, 2.583804664799036, 2.3467115515636072, 2.0573294727593407, 1.69607922136306, 1.2450849995510573, 0.8726746596268609, 0.6574420916219043, 0.6323296699800298, 0.30737938376891816, 0.22557349861639306, 0.1615691304159088, 0.13315019766903585, 0.2735906958134256, 0.10993881484605053, 0.08374169680218284, 0.08112798850091858, 0.08305591330306333, 0.0733426495288045, 0.1248469037624697, 0.10522665724588129, 0.09530687355734886, 0.22766544545690218, 0.08981581646391851, 0.14117029653543717, 0.11613460518539143, 0.1873390331195715, 0.06761602286058359, 0.04636701742688624, 0.041428217991716906, 0.03993483927323777, 0.03697063701036267, 0.03573276626013824, 0.03154782589294144, 0.02960641743290899, 0.026071819318577837, 0.022007538503708526, 0.021811578414327282, 0.020657863119680785]","[1516.4063325615252, 192.6437819276826, 17.196550635968226, 4.233480652004985, 4.404844573998855, 3.764087516877611, 3.4761283281496014, 3.2865712172904256, 3.136670689461595, 3.287991616938074, 3.3160557842860787, 2.512070176207413, 2.3113300948072286, 2.142467829761869, 1.8058841593437276, 1.3842559098818545, 1.1218729942910752, 0.6682307629893391, 0.5273359132520223, 0.3946271017825199, 0.2419333852574987, 0.15075151587568097, 0.17780569372540814, 0.28161081343384115, 0.07193616161249199, 0.0871731547038939, 0.07268118198519036, 0.0721303312644615, 0.08614211384270151, 0.05669272373730348, 0.09962382596933235, 0.037605043113926206, 0.054869401805355385, 0.13667998352419522, 0.05762448288121466, 0.34135734277256463, 0.12147032971478115, 0.24013704490863672, 0.053840197346536285, 0.048997976248926024, 0.03957450582045999, 0.04102855374626184, 0.03247106066999673, 0.02960316579141733, 0.03199739711382821, 0.037184290351125145, 0.024020784771290875, 0.022913595862781345, 0.023193377085914044, 0.017119374668809695]"
