pooling,epoch_list,train_losses,val_losses
max,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[3934.973562126486, 704.3218683585143, 79.04440688068031, 12.57090982247112, 8.565312882773897, 8.121011519406595, 7.489734384143709, 7.086872121876376, 6.736175663578204, 6.0911642795062475, 5.59946860700973, 5.357890193899855, 4.482792622513241, 3.770819961658528, 2.8078599186200233, 2.1089395792979717, 1.6032309379492304, 1.1446129750762868, 0.9058987763909321, 0.4750849760503659, 0.47408625558337086, 0.24733986862354043, 0.17002547642964327, 0.1208215597539376, 0.1475040342212997, 0.07705895244104104, 0.09896199819910476, 0.1229645332807086, 0.0990180487338549, 0.09158919046386185, 0.24420390965050867, 0.1649366657002869, 0.11417629762401438, 0.03540270477851741, 0.02875587054524316, 0.026204904871714167, 0.025697498870854322, 0.02289603386197685, 0.022151242994353112, 0.02248999282457014, 0.022539087396083225, 0.019843401026147872, 0.019557689084735118, 0.019734549508270863, 0.019585662119440798, 0.019450141676168285, 0.016960211939966448, 0.01833723069707919, 0.01899391415620493, 0.016487859530423164]","[1530.341247242386, 197.4912281096992, 20.27729421348895, 10.11856806177204, 7.890461320594206, 7.238043837880684, 6.948043514611357, 6.6052654880588335, 6.0402552173551864, 5.576628290748192, 5.0377915118963035, 4.510541356468605, 4.074050065950822, 3.106643358150781, 2.270525274892985, 1.7462089340186726, 1.3149001033250558, 0.9650332415002888, 0.5334619534659689, 0.3635043772726746, 0.24678864866747693, 0.2614444412796174, 0.11607384264974271, 0.08344435027279591, 0.18870934591454974, 0.06781862136292255, 0.05126905603871002, 0.16922687189811367, 0.06695251845581046, 0.23778527975082397, 0.37545548480446056, 0.1538269065825616, 0.1992798028355938, 0.030158774611555923, 0.028051238376805086, 0.026969125636427078, 0.024798577473798798, 0.02368041977554686, 0.02318710788405674, 0.02306447190358856, 0.019650211699812088, 0.01970331559660134, 0.04477641358971596, 0.021030548472604636, 0.017013593403212096, 0.021168814796433483, 0.01752338852038828, 0.015319591123705446, 0.016889704225616434, 0.020297987824621593]"
avg,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[4001.663324078943, 716.1365860321073, 89.67981253462469, 22.494961663634857, 17.992720968257156, 16.829614266116394, 15.6678916068477, 14.768693164946177, 13.420819326789461, 12.052799889865595, 10.767826434702446, 9.375744211861592, 8.26845879547107, 6.61290564107844, 4.939909134338746, 3.521433378617542, 2.556255564937352, 1.7480424996783845, 1.1276203708197825, 0.8023862449340841, 0.6589333923199238, 0.3093765978104411, 0.23274180326913285, 0.14966317466818368, 0.08259937368556221, 0.13974852834899837, 0.06414813964834644, 0.11355991236085439, 0.08950338802801874, 0.07619685356696256, 0.07147413616777103, 0.047858130174856156, 0.07684687808609734, 0.08694332471897459, 0.07786197590434717, 0.09233532515235054, 0.06883550992108181, 0.1934569615743354, 0.048353296605090045, 0.03442836183712332, 0.03186599538526219, 0.02894571008315931, 0.027142431550165717, 0.02574984004181754, 0.02310258168508259, 0.023044332498724326, 0.0207789420363151, 0.020956898514085855, 0.021247278462645687, 0.020595591008846257]","[1532.5183881763685, 211.71016746759415, 30.22691150843087, 18.170181524450495, 16.330934727848586, 15.499275595202285, 14.792205608497232, 13.186088044259508, 12.027395876282352, 10.850569061556104, 9.476663539470252, 8.251288548364478, 7.05371760526451, 5.455051690340042, 3.9571269970955485, 2.7178242202785055, 1.971566015507205, 1.3000674276786335, 0.9489352062849675, 0.6973475133210926, 0.3787825419172897, 0.2139893921755128, 0.11331861032078326, 0.07776250634973837, 0.32169592721482454, 0.06074943445559781, 0.055617858371618444, 0.032811518592791536, 0.07741876233811096, 0.05801373401309474, 0.058306310152224566, 0.028092630357497324, 0.03831338116472934, 0.07609094196330693, 0.06938265725749276, 0.05861678239652666, 0.15168586196535724, 0.15900620489807452, 0.03638869932047644, 0.03414629351237189, 0.03497561624952418, 0.040110547209979364, 0.026714299083292738, 0.024959912097428816, 0.026178847493256552, 0.02232228419980255, 0.0281154131122186, 0.026192916480240303, 0.017972479161995826, 0.021518995113260414]"
